territories,new_margin
national,0.9792001894274893
alabama,-25.70307111639403
alaska,-10.79235683485679
arizona,-2.6511318473049386
arkansas,-25.311729364364503
california,27.434952725645818
colorado,10.229079434548323
connecticut,17.027701013974863
delaware,16.589848415183457
district of columbia,46.24565946077226
florida,-5.606470501622148
georgia,-1.5244580699888797
hawaii,32.46899617606005
idaho,-31.215018060602805
illinois,16.850393663266633
indiana,-15.822864066387751
iowa,-4.6666317602992144
kansas,-14.750555534942198
kentucky,-26.686569561994006
louisiana,-18.803551839767316
maine,9.175499432450026
maine-1,21.760385855914496
maine-2,-4.429152957779905
maryland,28.278768553437317
massachusetts,27.65399486045481
michigan,1.0492885543669548
minnesota,6.084010436491903
mississippi,-16.16073729115898
missouri,-14.889172300422803
montana,-17.929886528231943
nebraska,-17.52854216099728
nebraska-1,-12.658944028634316
nebraska-2,5.7050150782238696
nebraska-3,-46.7766474040431
nevada,-0.40606321328553174
new hampshire,4.82683746491529
new jersey,15.117239797009493
new mexico,6.884573943455758
new york,18.997374303429822
north carolina,-0.9149764192316425
north dakota,-28.491574532006428
ohio,-7.155284504270171
oklahoma,-34.754353076154516
oregon,12.975220812819096
pennsylvania,0.042820526482806986
rhode island,16.69008080865663
south carolina,-12.31845361965395
south dakota,-25.96180040559862
tennessee,-23.074009242435583
texas,-8.148349557665096
utah,-22.801305110446275
vermont,32.16796763851978
virginia,6.012875755910194
washington,16.828656828496182
west virginia,-36.97097988139455
wisconsin,1.1053906914885565
wyoming,-43.17853209772113
