Geography,National,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maine-1,Maine-2,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nebraska-1,Nebraska-2,Nebraska-3,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Hawaii,0.071,0.0,0.021,0.049,0.005,0.026,0.012,0.008,0.011,0.0,0.043,0.045,0.0,0.0,0.006,0.011,0.012,0.0,0.0,0.0,0.007,0.007,0.019,0.029,0.019,0.039,0.023,0.0,0.01,0.019,0.028,0.0,0.014,0.0,0.048,0.018,0.006,0.024,0.021,0.043,0.015,0.025,0.007,0.022,0.049,0.012,0.01,0.0,0.015,0.035,0.017,0.003,0.018,0.03,0.003,0.045,0.0
Idaho,0.069,0.0,0.019,0.049,0.007,0.015,0.011,0.006,0.01,0.0,0.038,0.05,0.0,0.0,0.005,0.014,0.014,0.0,0.0,0.0,0.009,0.009,0.023,0.021,0.014,0.046,0.023,0.0,0.013,0.024,0.031,0.0,0.017,0.0,0.041,0.018,0.004,0.024,0.014,0.049,0.014,0.03,0.01,0.022,0.049,0.01,0.012,0.0,0.019,0.035,0.019,0.003,0.016,0.026,0.004,0.046,0.0
Illinois,0.061,0.0,0.014,0.037,0.004,0.016,0.009,0.006,0.009,0.0,0.03,0.039,0.0,0.0,0.219,0.009,0.009,0.0,0.0,0.0,0.005,0.005,0.014,0.021,0.015,0.035,0.02,0.0,0.009,0.013,0.023,0.0,0.01,0.0,0.033,0.013,0.005,0.016,0.016,0.037,0.011,0.022,0.006,0.017,0.043,0.01,0.008,0.0,0.013,0.028,0.014,0.002,0.014,0.022,0.002,0.037,0.0
Indiana,0.039,0.0,0.01,0.026,0.004,0.008,0.006,0.004,0.006,0.0,0.021,0.028,0.0,0.0,0.003,0.44,0.008,0.0,0.0,0.0,0.005,0.005,0.012,0.012,0.008,0.03,0.013,0.0,0.008,0.012,0.018,0.0,0.008,0.0,0.023,0.009,0.002,0.013,0.008,0.029,0.008,0.019,0.005,0.012,0.03,0.006,0.007,0.0,0.011,0.019,0.009,0.002,0.009,0.014,0.002,0.029,0.0
Iowa,0.037,0.0,0.009,0.025,0.003,0.008,0.006,0.004,0.006,0.0,0.019,0.025,0.0,0.0,0.003,0.008,0.459,0.0,0.0,0.0,0.005,0.005,0.013,0.011,0.008,0.028,0.014,0.0,0.007,0.012,0.019,0.0,0.009,0.0,0.02,0.01,0.002,0.012,0.008,0.026,0.009,0.018,0.005,0.012,0.031,0.006,0.006,0.0,0.01,0.017,0.009,0.002,0.008,0.014,0.002,0.031,0.0
Kansas,0.07,0.0,0.017,0.047,0.006,0.016,0.011,0.007,0.01,0.0,0.036,0.049,0.0,0.0,0.006,0.014,0.015,0.0,0.0,0.0,0.008,0.008,0.021,0.022,0.015,0.049,0.024,0.0,0.013,0.021,0.033,0.0,0.015,0.0,0.038,0.017,0.004,0.021,0.015,0.05,0.015,0.032,0.009,0.023,0.053,0.011,0.011,0.0,0.019,0.033,0.018,0.003,0.016,0.027,0.003,0.051,0.0
Kentucky,0.066,0.0,0.017,0.046,0.008,0.015,0.01,0.006,0.011,0.0,0.037,0.051,0.0,0.0,0.005,0.015,0.014,0.0,0.0,0.0,0.008,0.008,0.021,0.02,0.014,0.051,0.022,0.0,0.013,0.022,0.031,0.0,0.015,0.0,0.039,0.017,0.004,0.025,0.013,0.054,0.013,0.033,0.01,0.022,0.051,0.01,0.013,0.0,0.022,0.032,0.017,0.003,0.015,0.025,0.004,0.05,0.0
Louisiana,0.07,0.0,0.019,0.047,0.007,0.017,0.01,0.007,0.01,0.0,0.039,0.057,0.0,0.0,0.006,0.014,0.013,0.0,0.0,0.0,0.007,0.007,0.019,0.025,0.015,0.046,0.021,0.0,0.012,0.02,0.029,0.0,0.014,0.0,0.042,0.015,0.005,0.027,0.016,0.053,0.014,0.03,0.01,0.02,0.049,0.01,0.013,0.0,0.02,0.037,0.017,0.003,0.016,0.024,0.004,0.045,0.0
Maine,0.044,0.0,0.012,0.031,0.004,0.01,0.007,0.004,0.007,0.0,0.027,0.03,0.0,0.0,0.003,0.009,0.01,0.0,0.0,0.0,0.337,0.008,0.02,0.013,0.009,0.033,0.015,0.0,0.008,0.017,0.021,0.0,0.014,0.0,0.024,0.014,0.003,0.015,0.009,0.032,0.01,0.02,0.006,0.015,0.037,0.007,0.008,0.0,0.012,0.021,0.013,0.003,0.01,0.016,0.003,0.033,0.0
Maine-1,0.044,0.0,0.012,0.031,0.004,0.01,0.007,0.004,0.007,0.0,0.027,0.03,0.0,0.0,0.003,0.009,0.01,0.0,0.0,0.0,0.008,0.337,0.02,0.013,0.009,0.033,0.015,0.0,0.008,0.017,0.021,0.0,0.014,0.0,0.024,0.014,0.003,0.015,0.009,0.032,0.01,0.02,0.006,0.015,0.037,0.007,0.008,0.0,0.012,0.021,0.013,0.003,0.01,0.016,0.003,0.033,0.0
